T,Euribor1Y,HICP,CORE,IPI,EXRATE,NFCRATE,VOL,M3,GDP,LP,UNRATE
2006.4166666666667,3.4005,4.46314568595867,4.48627403104424,4.69286404039715,4.64550161306836,3.99,23.8412529411765,15.8149115065517,14.8145170739653,4.53259330922815,8.50714
2006.5,3.5386,4.46602305457793,4.48751214251986,4.69192551381488,4.64675901858262,4.1,20.9795666666667,15.817445589767,,,8.4172
2006.5833333333333,3.6151,4.46728647862471,4.48829923425668,4.69380168697311,4.64639100667911,4.23,18.298995,15.8271511960525,,,8.39172
2006.6666666666667,3.7153,4.46590811865458,4.48998377617897,4.6956743466964,4.64455253707829,4.27,16.7393833333333,15.8401506853089,14.8200980420459,4.53180595189598,8.32041
2006.75,3.7992,4.46533324080029,4.49132936956433,4.69660936312731,4.6380952485807,4.45,15.2952263157895,15.843460627726,,,8.24057
2006.8333333333333,3.8637,4.46659753612415,4.49300881909976,4.70776189507779,4.64452263741883,4.53,14.4654684210526,15.8505196891588,,,8.15991
2006.9166666666667,3.9209,4.46774551007642,4.49435035088285,4.72516957239404,4.65486783545231,4.66,15.382125,15.8636638114536,14.8315671863589,4.53808752050368,8.05078
2007.0,4.0644,4.47026642352329,4.49713944177439,4.71421055860432,4.64699584896165,4.65,15.7901842105263,15.8746092039292,,,7.9865
2007.0833333333333,4.0936,4.47175307254774,4.49892038614538,4.72061790317932,4.65018758150846,4.73,14.9706764705882,15.8810570084446,,,7.90762
2007.1666666666667,4.1055,4.47392189937814,4.49980967033027,4.72516957239404,4.65795055048369,4.85,21.3840631578947,15.8960594862652,14.8385574591185,4.54009824504172,7.81348
2007.25,4.2527,4.47824549241442,4.50258359721299,4.71237232279257,4.66493134431114,4.91,16.876275,15.8989682740084,,,7.69076
2007.3333333333333,4.3731,4.48040029903214,4.50413364181032,4.7278906625084,4.66273083204426,4.95,17.3374944444444,15.9113028200768,,,7.66915
2007.4166666666667,4.5055,4.4818719696436,4.5049077640497,4.72879604962321,4.65795949022981,5.08,18.6696666666667,15.9204129536468,14.8452259098293,4.54266163457578,7.58669
2007.5,4.5638,4.48390609849505,4.5063438316812,4.7278906625084,4.66393122698491,5.09,20.5870210526316,15.9305706597501,,,7.63446
2007.5833333333333,4.6663,4.48469603252022,4.50722654165797,4.73331072997774,4.66362992993885,5.23,27.632215,15.9370929440993,,,7.5865
2007.6666666666667,4.7245,4.48706209750776,4.50810847314496,4.73240942302173,4.67249126552094,5.4,26.1323352941177,15.9459543391793,14.8492365245746,4.54165935151398,7.52624
2007.75,4.6467,4.49043250851767,4.50953995497284,4.7360097869469,4.67962886030691,5.34,19.5652,15.9604354867552,,,7.47879
2007.8333333333333,4.6072,4.49635928012991,4.51151862990664,4.73150730297859,4.69553859251555,5.34,24.7514736842105,15.9709285126745,,,7.41832
2007.9166666666667,4.7929,4.49780766765959,4.51294524194557,4.73240942302173,4.69395568448614,5.52,21.79865,15.9728338973094,14.8542356884478,4.54366291407202,7.45165
2008.0,4.498,4.50225113198025,4.51513606328411,4.74939686772936,4.69932669393061,5.33,28.4539368421053,15.9894708299713,,,7.41718
2008.0833333333333,4.3489,4.50369101703824,4.51612036915458,4.74850994971113,4.69764410089876,5.26,30.7338166666667,15.9951739474344,,,7.37222
2008.1666666666667,4.5901,4.50832883453854,4.51852237926242,4.73690785615859,4.72659739238837,5.37,33.5437625,15.9978624160138,14.8605678597033,4.54610627379492,7.35044
2008.25,4.8199,4.51041984944228,4.51884947952156,4.74850994971113,4.73736486887159,5.47,24.1136421052632,16.0061539713141,,,7.45519
2008.3333333333333,4.9938,4.51622967669144,4.5209186335405,4.71696159197621,4.73075290891758,5.47,20.657,16.0150371502963,,,7.50069
2008.4166666666667,5.3608,4.52080983737002,4.52276635973328,4.72061790317932,4.72898752919373,5.54,24.0807333333333,16.0176272604298,14.8556235247652,4.54377410548816,7.59687
2008.5,5.3932,4.5238516648105,4.52363469800557,4.71329186308725,4.73110777155747,5.63,28.04665,16.0246044158706,,,7.58198
2008.5833333333333,5.323,4.52189726679427,4.52515247800206,4.70776189507779,4.70710781704785,5.61,23.6452611111111,16.0285638640387,,,7.66906
2008.6666666666667,5.3839,4.52276635973328,4.52666795783313,4.69847677730211,4.69508560424933,5.77,35.3458,16.0374156068958,14.8501646157605,4.54266163457578,7.7506
2008.75,5.2478,4.52135369989498,4.52850510105261,4.67964382896901,4.67214670640119,5.76,71.840475,16.0529473439391,,,7.88321
2008.8333333333333,4.3504,4.51721290722895,4.53012331166518,4.64087928551877,4.66606614478481,5.13,64.8594529411765,16.0548367374403,,,8.10735
